CaseID,ActivityID,CompleteTimestamp
0,2,2010-12-01 00:00:05
0,0,2010-12-01 00:00:10
0,0,2010-12-01 00:00:15
0,0,2010-12-01 00:00:20
0,1,2010-12-01 00:00:25
1,0,2010-12-01 00:00:30
1,0,2010-12-01 00:00:35
1,0,2010-12-01 00:00:40
1,0,2010-12-01 00:00:45
1,0,2010-12-01 00:00:50
1,1,2010-12-01 00:00:55
2,0,2010-12-01 00:01:00
2,0,2010-12-01 00:01:05
2,0,2010-12-01 00:01:10
2,0,2010-12-01 00:01:15
2,1,2010-12-01 00:01:20
3,0,2010-12-01 00:01:25
3,0,2010-12-01 00:01:30
3,0,2010-12-01 00:01:35
3,0,2010-12-01 00:01:40
3,1,2010-12-01 00:01:45
4,0,2010-12-01 00:01:50
4,0,2010-12-01 00:01:55
4,2,2010-12-01 00:02:00
4,0,2010-12-01 00:02:05
4,0,2010-12-01 00:02:10
4,0,2010-12-01 00:02:15
4,1,2010-12-01 00:02:20
5,0,2010-12-01 00:02:25
5,0,2010-12-01 00:02:30
5,0,2010-12-01 00:02:35
5,0,2010-12-01 00:02:40
5,0,2010-12-01 00:02:45
5,0,2010-12-01 00:02:50
5,1,2010-12-01 00:02:55
6,0,2010-12-01 00:03:00
6,0,2010-12-01 00:03:05
6,2,2010-12-01 00:03:10
6,0,2010-12-01 00:03:15
6,0,2010-12-01 00:03:20
6,0,2010-12-01 00:03:25
6,1,2010-12-01 00:03:30
7,0,2010-12-01 00:03:35
7,0,2010-12-01 00:03:40
7,0,2010-12-01 00:03:45
7,2,2010-12-01 00:03:50
7,0,2010-12-01 00:03:55
7,2,2010-12-01 00:04:00
7,0,2010-12-01 00:04:05
7,1,2010-12-01 00:04:10
8,0,2010-12-01 00:04:15
8,0,2010-12-01 00:04:20
8,0,2010-12-01 00:04:25
8,0,2010-12-01 00:04:30
8,1,2010-12-01 00:04:35
9,0,2010-12-01 00:04:40
9,0,2010-12-01 00:04:45
9,1,2010-12-01 00:04:50
10,0,2010-12-01 00:04:55
10,2,2010-12-01 00:05:00
10,0,2010-12-01 00:05:05
10,2,2010-12-01 00:05:10
10,0,2010-12-01 00:05:15
10,0,2010-12-01 00:05:20
10,2,2010-12-01 00:05:25
10,0,2010-12-01 00:05:30
10,1,2010-12-01 00:05:35
11,0,2010-12-01 00:05:40
11,3,2010-12-01 00:05:45
11,1,2010-12-01 00:05:50
12,2,2010-12-01 00:05:55
12,0,2010-12-01 00:06:00
12,0,2010-12-01 00:06:05
12,2,2010-12-01 00:06:10
12,2,2010-12-01 00:06:15
12,0,2010-12-01 00:06:20
12,0,2010-12-01 00:06:25
12,0,2010-12-01 00:06:30
12,0,2010-12-01 00:06:35
12,1,2010-12-01 00:06:40
13,0,2010-12-01 00:06:45
13,3,2010-12-01 00:06:50
13,1,2010-12-01 00:06:55
14,0,2010-12-01 00:07:00
14,1,2010-12-01 00:07:05
15,0,2010-12-01 00:07:10
15,0,2010-12-01 00:07:15
15,1,2010-12-01 00:07:20
16,0,2010-12-01 00:07:25
16,0,2010-12-01 00:07:30
16,0,2010-12-01 00:07:35
16,0,2010-12-01 00:07:40
16,0,2010-12-01 00:07:45
16,0,2010-12-01 00:07:50
16,0,2010-12-01 00:07:55
16,0,2010-12-01 00:08:00
16,1,2010-12-01 00:08:05
17,0,2010-12-01 00:08:10
17,0,2010-12-01 00:08:15
17,0,2010-12-01 00:08:20
17,0,2010-12-01 00:08:25
17,1,2010-12-01 00:08:30
18,0,2010-12-01 00:08:35
18,3,2010-12-01 00:08:40
18,2,2010-12-01 00:08:45
18,0,2010-12-01 00:08:50
18,0,2010-12-01 00:08:55
18,0,2010-12-01 00:09:00
18,0,2010-12-01 00:09:05
18,0,2010-12-01 00:09:10
18,0,2010-12-01 00:09:15
18,1,2010-12-01 00:09:20
19,0,2010-12-01 00:09:25
19,0,2010-12-01 00:09:30
19,2,2010-12-01 00:09:35
19,0,2010-12-01 00:09:40
19,0,2010-12-01 00:09:45
19,0,2010-12-01 00:09:50
19,0,2010-12-01 00:09:55
19,0,2010-12-01 00:10:00
19,1,2010-12-01 00:10:05
20,0,2010-12-01 00:10:10
20,0,2010-12-01 00:10:15
20,2,2010-12-01 00:10:20
20,0,2010-12-01 00:10:25
20,0,2010-12-01 00:10:30
20,1,2010-12-01 00:10:35
21,0,2010-12-01 00:10:40
21,0,2010-12-01 00:10:45
21,0,2010-12-01 00:10:50
21,0,2010-12-01 00:10:55
21,0,2010-12-01 00:11:00
21,0,2010-12-01 00:11:05
21,1,2010-12-01 00:11:10
22,2,2010-12-01 00:11:15
22,0,2010-12-01 00:11:20
22,0,2010-12-01 00:11:25
22,0,2010-12-01 00:11:30
22,0,2010-12-01 00:11:35
22,1,2010-12-01 00:11:40
23,0,2010-12-01 00:11:45
23,0,2010-12-01 00:11:50
23,2,2010-12-01 00:11:55
23,0,2010-12-01 00:12:00
23,0,2010-12-01 00:12:05
23,0,2010-12-01 00:12:10
23,0,2010-12-01 00:12:15
23,2,2010-12-01 00:12:20
23,0,2010-12-01 00:12:25
23,2,2010-12-01 00:12:30
23,0,2010-12-01 00:12:35
23,0,2010-12-01 00:12:40
23,1,2010-12-01 00:12:45
24,0,2010-12-01 00:12:50
24,2,2010-12-01 00:12:55
24,0,2010-12-01 00:13:00
24,3,2010-12-01 00:13:05
24,1,2010-12-01 00:13:10
25,3,2010-12-01 00:13:15
25,0,2010-12-01 00:13:20
25,0,2010-12-01 00:13:25
25,1,2010-12-01 00:13:30
26,0,2010-12-01 00:13:35
26,0,2010-12-01 00:13:40
26,1,2010-12-01 00:13:45
27,0,2010-12-01 00:13:50
27,0,2010-12-01 00:13:55
27,1,2010-12-01 00:14:00
28,0,2010-12-01 00:14:05
28,0,2010-12-01 00:14:10
28,1,2010-12-01 00:14:15
29,0,2010-12-01 00:14:20
29,3,2010-12-01 00:14:25
29,1,2010-12-01 00:14:30
30,0,2010-12-01 00:14:35
30,0,2010-12-01 00:14:40
30,1,2010-12-01 00:14:45
31,0,2010-12-01 00:14:50
31,1,2010-12-01 00:14:55
32,0,2010-12-01 00:15:00
32,0,2010-12-01 00:15:05
32,0,2010-12-01 00:15:10
32,0,2010-12-01 00:15:15
32,0,2010-12-01 00:15:20
32,0,2010-12-01 00:15:25
32,1,2010-12-01 00:15:30
33,0,2010-12-01 00:15:35
33,2,2010-12-01 00:15:40
33,2,2010-12-01 00:15:45
33,0,2010-12-01 00:15:50
33,1,2010-12-01 00:15:55
34,0,2010-12-01 00:16:00
34,0,2010-12-01 00:16:05
34,1,2010-12-01 00:16:10
35,0,2010-12-01 00:16:15
35,0,2010-12-01 00:16:20
35,0,2010-12-01 00:16:25
35,0,2010-12-01 00:16:30
35,0,2010-12-01 00:16:35
35,1,2010-12-01 00:16:40
36,0,2010-12-01 00:16:45
36,0,2010-12-01 00:16:50
36,0,2010-12-01 00:16:55
36,1,2010-12-01 00:17:00
37,0,2010-12-01 00:17:05
37,1,2010-12-01 00:17:10
38,0,2010-12-01 00:17:15
38,0,2010-12-01 00:17:20
38,1,2010-12-01 00:17:25
39,0,2010-12-01 00:17:30
39,2,2010-12-01 00:17:35
39,0,2010-12-01 00:17:40
39,0,2010-12-01 00:17:45
