CaseID,ActivityID,CompleteTimestamp
0,0,2010-12-01 00:00:05
0,1,2010-12-01 00:00:10
0,2,2010-12-01 00:00:15
0,3,2010-12-01 00:00:20
0,4,2010-12-01 00:00:25
0,5,2010-12-01 00:00:30
0,3,2010-12-01 00:00:35
0,4,2010-12-01 00:00:40
0,1,2010-12-01 00:00:45
0,0,2010-12-01 00:00:50
0,2,2010-12-01 00:00:55
1,0,2010-12-01 00:01:00
1,1,2010-12-01 00:01:05
1,2,2010-12-01 00:01:10
1,3,2010-12-01 00:01:15
1,4,2010-12-01 00:01:20
1,5,2010-12-01 00:01:25
1,3,2010-12-01 00:01:30
1,4,2010-12-01 00:01:35
1,0,2010-12-01 00:01:40
1,1,2010-12-01 00:01:45
1,2,2010-12-01 00:01:50
2,0,2010-12-01 00:01:55
2,1,2010-12-01 00:02:00
2,2,2010-12-01 00:02:05
3,0,2010-12-01 00:02:10
3,1,2010-12-01 00:02:15
3,2,2010-12-01 00:02:20
4,0,2010-12-01 00:02:25
4,1,2010-12-01 00:02:30
4,2,2010-12-01 00:02:35
4,3,2010-12-01 00:02:40
4,4,2010-12-01 00:02:45
4,7,2010-12-01 00:02:50
4,6,2010-12-01 00:02:55
4,3,2010-12-01 00:03:00
4,4,2010-12-01 00:03:05
4,5,2010-12-01 00:03:10
4,3,2010-12-01 00:03:15
4,4,2010-12-01 00:03:20
4,6,2010-12-01 00:03:25
4,7,2010-12-01 00:03:30
4,3,2010-12-01 00:03:35
4,4,2010-12-01 00:03:40
4,6,2010-12-01 00:03:45
4,7,2010-12-01 00:03:50
4,3,2010-12-01 00:03:55
4,4,2010-12-01 00:04:00
4,0,2010-12-01 00:04:05
4,1,2010-12-01 00:04:10
4,2,2010-12-01 00:04:15
4,3,2010-12-01 00:04:20
4,4,2010-12-01 00:04:25
4,0,2010-12-01 00:04:30
4,1,2010-12-01 00:04:35
4,2,2010-12-01 00:04:40
4,3,2010-12-01 00:04:45
4,4,2010-12-01 00:04:50
4,1,2010-12-01 00:04:55
4,0,2010-12-01 00:05:00
4,2,2010-12-01 00:05:05
5,0,2010-12-01 00:05:10
5,1,2010-12-01 00:05:15
5,2,2010-12-01 00:05:20
6,0,2010-12-01 00:05:25
6,1,2010-12-01 00:05:30
6,2,2010-12-01 00:05:35
6,3,2010-12-01 00:05:40
6,4,2010-12-01 00:05:45
6,6,2010-12-01 00:05:50
6,7,2010-12-01 00:05:55
6,3,2010-12-01 00:06:00
6,4,2010-12-01 00:06:05
6,6,2010-12-01 00:06:10
6,7,2010-12-01 00:06:15
6,3,2010-12-01 00:06:20
6,4,2010-12-01 00:06:25
6,1,2010-12-01 00:06:30
6,0,2010-12-01 00:06:35
6,2,2010-12-01 00:06:40
6,3,2010-12-01 00:06:45
6,4,2010-12-01 00:06:50
6,6,2010-12-01 00:06:55
6,7,2010-12-01 00:07:00
6,3,2010-12-01 00:07:05
6,4,2010-12-01 00:07:10
6,7,2010-12-01 00:07:15
6,6,2010-12-01 00:07:20
6,3,2010-12-01 00:07:25
6,4,2010-12-01 00:07:30
6,0,2010-12-01 00:07:35
6,1,2010-12-01 00:07:40
6,2,2010-12-01 00:07:45
7,1,2010-12-01 00:07:50
7,0,2010-12-01 00:07:55
7,2,2010-12-01 00:08:00
8,1,2010-12-01 00:08:05
8,0,2010-12-01 00:08:10
8,2,2010-12-01 00:08:15
8,3,2010-12-01 00:08:20
8,4,2010-12-01 00:08:25
8,5,2010-12-01 00:08:30
8,3,2010-12-01 00:08:35
8,4,2010-12-01 00:08:40
8,5,2010-12-01 00:08:45
8,3,2010-12-01 00:08:50
8,4,2010-12-01 00:08:55
8,5,2010-12-01 00:09:00
8,3,2010-12-01 00:09:05
8,4,2010-12-01 00:09:10
8,5,2010-12-01 00:09:15
8,3,2010-12-01 00:09:20
8,4,2010-12-01 00:09:25
8,1,2010-12-01 00:09:30
8,0,2010-12-01 00:09:35
8,2,2010-12-01 00:09:40
9,0,2010-12-01 00:09:45
9,1,2010-12-01 00:09:50
9,2,2010-12-01 00:09:55
10,1,2010-12-01 00:10:00
10,0,2010-12-01 00:10:05
10,2,2010-12-01 00:10:10
10,3,2010-12-01 00:10:15
10,4,2010-12-01 00:10:20
10,1,2010-12-01 00:10:25
10,0,2010-12-01 00:10:30
10,2,2010-12-01 00:10:35
10,3,2010-12-01 00:10:40
10,4,2010-12-01 00:10:45
10,5,2010-12-01 00:10:50
10,3,2010-12-01 00:10:55
10,4,2010-12-01 00:11:00
10,5,2010-12-01 00:11:05
10,3,2010-12-01 00:11:10
10,4,2010-12-01 00:11:15
10,5,2010-12-01 00:11:20
10,3,2010-12-01 00:11:25
10,4,2010-12-01 00:11:30
10,5,2010-12-01 00:11:35
10,3,2010-12-01 00:11:40
10,4,2010-12-01 00:11:45
10,0,2010-12-01 00:11:50
10,1,2010-12-01 00:11:55
10,2,2010-12-01 00:12:00
11,0,2010-12-01 00:12:05
11,1,2010-12-01 00:12:10
11,2,2010-12-01 00:12:15
12,0,2010-12-01 00:12:20
12,1,2010-12-01 00:12:25
12,2,2010-12-01 00:12:30
12,3,2010-12-01 00:12:35
12,4,2010-12-01 00:12:40
12,1,2010-12-01 00:12:45
12,0,2010-12-01 00:12:50
12,2,2010-12-01 00:12:55
13,1,2010-12-01 00:13:00
13,0,2010-12-01 00:13:05
13,2,2010-12-01 00:13:10
13,3,2010-12-01 00:13:15
13,4,2010-12-01 00:13:20
13,1,2010-12-01 00:13:25
13,0,2010-12-01 00:13:30
13,2,2010-12-01 00:13:35
13,3,2010-12-01 00:13:40
13,4,2010-12-01 00:13:45
13,0,2010-12-01 00:13:50
13,1,2010-12-01 00:13:55
13,2,2010-12-01 00:14:00
13,3,2010-12-01 00:14:05
13,4,2010-12-01 00:14:10
13,6,2010-12-01 00:14:15
13,7,2010-12-01 00:14:20
13,3,2010-12-01 00:14:25
13,4,2010-12-01 00:14:30
13,0,2010-12-01 00:14:35
13,1,2010-12-01 00:14:40
13,2,2010-12-01 00:14:45
13,3,2010-12-01 00:14:50
13,4,2010-12-01 00:14:55
13,5,2010-12-01 00:15:00
13,3,2010-12-01 00:15:05
13,4,2010-12-01 00:15:10
13,1,2010-12-01 00:15:15
13,0,2010-12-01 00:15:20
13,2,2010-12-01 00:15:25
13,3,2010-12-01 00:15:30
13,4,2010-12-01 00:15:35
13,1,2010-12-01 00:15:40
13,0,2010-12-01 00:15:45
13,2,2010-12-01 00:15:50
13,3,2010-12-01 00:15:55
13,4,2010-12-01 00:16:00
13,5,2010-12-01 00:16:05
13,3,2010-12-01 00:16:10
13,4,2010-12-01 00:16:15
13,1,2010-12-01 00:16:20
13,0,2010-12-01 00:16:25
13,2,2010-12-01 00:16:30
14,1,2010-12-01 00:16:35
14,0,2010-12-01 00:16:40
14,2,2010-12-01 00:16:45
14,3,2010-12-01 00:16:50
14,4,2010-12-01 00:16:55
14,0,2010-12-01 00:17:00
14,1,2010-12-01 00:17:05
14,2,2010-12-01 00:17:10
14,3,2010-12-01 00:17:15
14,4,2010-12-01 00:17:20
14,5,2010-12-01 00:17:25
14,3,2010-12-01 00:17:30
14,4,2010-12-01 00:17:35
14,0,2010-12-01 00:17:40
14,1,2010-12-01 00:17:45
14,2,2010-12-01 00:17:50
14,3,2010-12-01 00:17:55
14,4,2010-12-01 00:18:00
14,7,2010-12-01 00:18:05
14,6,2010-12-01 00:18:10
14,3,2010-12-01 00:18:15
14,4,2010-12-01 00:18:20
14,1,2010-12-01 00:18:25
14,0,2010-12-01 00:18:30
14,2,2010-12-01 00:18:35
15,0,2010-12-01 00:18:40
15,1,2010-12-01 00:18:45
15,2,2010-12-01 00:18:50
15,3,2010-12-01 00:18:55
15,4,2010-12-01 00:19:00
15,5,2010-12-01 00:19:05
15,3,2010-12-01 00:19:10
15,4,2010-12-01 00:19:15
15,0,2010-12-01 00:19:20
15,1,2010-12-01 00:19:25
15,2,2010-12-01 00:19:30
16,0,2010-12-01 00:19:35
16,1,2010-12-01 00:19:40
16,2,2010-12-01 00:19:45
16,3,2010-12-01 00:19:50
16,4,2010-12-01 00:19:55
16,1,2010-12-01 00:20:00
16,0,2010-12-01 00:20:05
16,2,2010-12-01 00:20:10
16,3,2010-12-01 00:20:15
16,4,2010-12-01 00:20:20
16,0,2010-12-01 00:20:25
16,1,2010-12-01 00:20:30
16,2,2010-12-01 00:20:35
16,3,2010-12-01 00:20:40
16,4,2010-12-01 00:20:45
16,6,2010-12-01 00:20:50
16,7,2010-12-01 00:20:55
16,3,2010-12-01 00:21:00
16,4,2010-12-01 00:21:05
16,5,2010-12-01 00:21:10
16,3,2010-12-01 00:21:15
16,4,2010-12-01 00:21:20
16,7,2010-12-01 00:21:25
16,6,2010-12-01 00:21:30
16,3,2010-12-01 00:21:35
16,4,2010-12-01 00:21:40
16,6,2010-12-01 00:21:45
16,7,2010-12-01 00:21:50
16,3,2010-12-01 00:21:55
16,4,2010-12-01 00:22:00
16,7,2010-12-01 00:22:05
16,6,2010-12-01 00:22:10
16,3,2010-12-01 00:22:15
16,4,2010-12-01 00:22:20
16,5,2010-12-01 00:22:25
16,3,2010-12-01 00:22:30
16,4,2010-12-01 00:22:35
16,0,2010-12-01 00:22:40
16,1,2010-12-01 00:22:45
16,2,2010-12-01 00:22:50
16,3,2010-12-01 00:22:55
16,4,2010-12-01 00:23:00
16,6,2010-12-01 00:23:05
16,7,2010-12-01 00:23:10
16,3,2010-12-01 00:23:15
16,4,2010-12-01 00:23:20
16,6,2010-12-01 00:23:25
16,7,2010-12-01 00:23:30
16,3,2010-12-01 00:23:35
16,4,2010-12-01 00:23:40
16,5,2010-12-01 00:23:45
16,3,2010-12-01 00:23:50
16,4,2010-12-01 00:23:55
16,5,2010-12-01 00:24:00
16,3,2010-12-01 00:24:05
16,4,2010-12-01 00:24:10
16,6,2010-12-01 00:24:15
16,7,2010-12-01 00:24:20
16,3,2010-12-01 00:24:25
16,4,2010-12-01 00:24:30
16,5,2010-12-01 00:24:35
16,3,2010-12-01 00:24:40
16,4,2010-12-01 00:24:45
16,7,2010-12-01 00:24:50
16,6,2010-12-01 00:24:55
16,3,2010-12-01 00:25:00
16,4,2010-12-01 00:25:05
16,5,2010-12-01 00:25:10
16,3,2010-12-01 00:25:15
16,4,2010-12-01 00:25:20
16,6,2010-12-01 00:25:25
16,7,2010-12-01 00:25:30
16,3,2010-12-01 00:25:35
16,4,2010-12-01 00:25:40
16,1,2010-12-01 00:25:45
16,0,2010-12-01 00:25:50
16,2,2010-12-01 00:25:55
17,1,2010-12-01 00:26:00
17,0,2010-12-01 00:26:05
17,2,2010-12-01 00:26:10
18,1,2010-12-01 00:26:15
18,0,2010-12-01 00:26:20
18,2,2010-12-01 00:26:25
18,3,2010-12-01 00:26:30
18,4,2010-12-01 00:26:35
18,7,2010-12-01 00:26:40
18,6,2010-12-01 00:26:45
18,3,2010-12-01 00:26:50
18,4,2010-12-01 00:26:55
18,5,2010-12-01 00:27:00
18,3,2010-12-01 00:27:05
18,4,2010-12-01 00:27:10
18,6,2010-12-01 00:27:15
18,7,2010-12-01 00:27:20
18,3,2010-12-01 00:27:25
18,4,2010-12-01 00:27:30
18,1,2010-12-01 00:27:35
18,0,2010-12-01 00:27:40
18,2,2010-12-01 00:27:45
19,1,2010-12-01 00:27:50
19,0,2010-12-01 00:27:55
19,2,2010-12-01 00:28:00
19,3,2010-12-01 00:28:05
19,4,2010-12-01 00:28:10
19,6,2010-12-01 00:28:15
19,7,2010-12-01 00:28:20
19,3,2010-12-01 00:28:25
19,4,2010-12-01 00:28:30
19,6,2010-12-01 00:28:35
19,7,2010-12-01 00:28:40
19,3,2010-12-01 00:28:45
19,4,2010-12-01 00:28:50
19,1,2010-12-01 00:28:55
19,0,2010-12-01 00:29:00
19,2,2010-12-01 00:29:05
19,3,2010-12-01 00:29:10
19,4,2010-12-01 00:29:15
19,7,2010-12-01 00:29:20
19,6,2010-12-01 00:29:25
19,3,2010-12-01 00:29:30
19,4,2010-12-01 00:29:35
19,5,2010-12-01 00:29:40
19,3,2010-12-01 00:29:45
19,4,2010-12-01 00:29:50
19,6,2010-12-01 00:29:55
19,7,2010-12-01 00:30:00
19,3,2010-12-01 00:30:05
19,4,2010-12-01 00:30:10
19,5,2010-12-01 00:30:15
19,3,2010-12-01 00:30:20
19,4,2010-12-01 00:30:25
19,6,2010-12-01 00:30:30
19,7,2010-12-01 00:30:35
19,3,2010-12-01 00:30:40
19,4,2010-12-01 00:30:45
19,6,2010-12-01 00:30:50
19,7,2010-12-01 00:30:55
19,3,2010-12-01 00:31:00
19,4,2010-12-01 00:31:05
19,0,2010-12-01 00:31:10
19,1,2010-12-01 00:31:15
