CaseID,ActivityID,CompleteTimestamp
0,22,2010-12-01 00:00:05
0,25,2010-12-01 00:00:10
0,16,2010-12-01 00:00:15
0,20,2010-12-01 00:00:20
0,24,2010-12-01 00:00:25
0,21,2010-12-01 00:00:30
1,14,2010-12-01 00:00:35
2,11,2010-12-01 00:00:40
2,9,2010-12-01 00:00:45
2,10,2010-12-01 00:00:50
3,27,2010-12-01 00:00:55
3,29,2010-12-01 00:01:00
3,12,2010-12-01 00:01:05
3,28,2010-12-01 00:01:10
3,1,2010-12-01 00:01:15
3,26,2010-12-01 00:01:20
4,26,2010-12-01 00:01:25
4,27,2010-12-01 00:01:30
4,28,2010-12-01 00:01:35
4,29,2010-12-01 00:01:40
4,23,2010-12-01 00:01:45
4,0,2010-12-01 00:01:50
5,13,2010-12-01 00:01:55
6,27,2010-12-01 00:02:00
6,29,2010-12-01 00:02:05
6,28,2010-12-01 00:02:10
6,23,2010-12-01 00:02:15
6,26,2010-12-01 00:02:20
6,1,2010-12-01 00:02:25
7,10,2010-12-01 00:02:30
7,11,2010-12-01 00:02:35
7,9,2010-12-01 00:02:40
8,13,2010-12-01 00:02:45
9,3,2010-12-01 00:02:50
9,4,2010-12-01 00:02:55
9,5,2010-12-01 00:03:00
9,6,2010-12-01 00:03:05
9,7,2010-12-01 00:03:10
9,8,2010-12-01 00:03:15
9,3,2010-12-01 00:03:20
9,4,2010-12-01 00:03:25
9,5,2010-12-01 00:03:30
9,6,2010-12-01 00:03:35
9,7,2010-12-01 00:03:40
9,8,2010-12-01 00:03:45
9,30,2010-12-01 00:03:50
9,2,2010-12-01 00:03:55
9,31,2010-12-01 00:04:00
9,5,2010-12-01 00:04:05
9,6,2010-12-01 00:04:10
9,7,2010-12-01 00:04:15
9,8,2010-12-01 00:04:20
9,30,2010-12-01 00:04:25
9,2,2010-12-01 00:04:30
9,31,2010-12-01 00:04:35
10,13,2010-12-01 00:04:40
11,11,2010-12-01 00:04:45
11,10,2010-12-01 00:04:50
11,9,2010-12-01 00:04:55
12,13,2010-12-01 00:05:00
13,11,2010-12-01 00:05:05
13,9,2010-12-01 00:05:10
13,10,2010-12-01 00:05:15
14,24,2010-12-01 00:05:20
14,22,2010-12-01 00:05:25
14,25,2010-12-01 00:05:30
14,20,2010-12-01 00:05:35
14,18,2010-12-01 00:05:40
14,21,2010-12-01 00:05:45
15,11,2010-12-01 00:05:50
15,9,2010-12-01 00:05:55
15,10,2010-12-01 00:06:00
16,13,2010-12-01 00:06:05
17,13,2010-12-01 00:06:10
18,15,2010-12-01 00:06:15
19,3,2010-12-01 00:06:20
19,4,2010-12-01 00:06:25
20,11,2010-12-01 00:06:30
20,10,2010-12-01 00:06:35
20,9,2010-12-01 00:06:40
21,10,2010-12-01 00:06:45
21,9,2010-12-01 00:06:50
21,11,2010-12-01 00:06:55
22,15,2010-12-01 00:07:00
23,14,2010-12-01 00:07:05
24,30,2010-12-01 00:07:10
24,31,2010-12-01 00:07:15
24,2,2010-12-01 00:07:20
24,5,2010-12-01 00:07:25
24,6,2010-12-01 00:07:30
24,7,2010-12-01 00:07:35
24,8,2010-12-01 00:07:40
24,3,2010-12-01 00:07:45
24,4,2010-12-01 00:07:50
24,5,2010-12-01 00:07:55
24,6,2010-12-01 00:08:00
24,7,2010-12-01 00:08:05
24,8,2010-12-01 00:08:10
24,3,2010-12-01 00:08:15
24,4,2010-12-01 00:08:20
24,5,2010-12-01 00:08:25
24,6,2010-12-01 00:08:30
24,7,2010-12-01 00:08:35
24,8,2010-12-01 00:08:40
24,3,2010-12-01 00:08:45
24,4,2010-12-01 00:08:50
25,1,2010-12-01 00:08:55
25,27,2010-12-01 00:09:00
25,28,2010-12-01 00:09:05
25,26,2010-12-01 00:09:10
25,23,2010-12-01 00:09:15
25,29,2010-12-01 00:09:20
26,27,2010-12-01 00:09:25
26,28,2010-12-01 00:09:30
26,23,2010-12-01 00:09:35
26,29,2010-12-01 00:09:40
26,0,2010-12-01 00:09:45
26,26,2010-12-01 00:09:50
27,14,2010-12-01 00:09:55
28,20,2010-12-01 00:10:00
28,22,2010-12-01 00:10:05
28,21,2010-12-01 00:10:10
28,25,2010-12-01 00:10:15
28,24,2010-12-01 00:10:20
28,18,2010-12-01 00:10:25
29,26,2010-12-01 00:10:30
29,27,2010-12-01 00:10:35
29,12,2010-12-01 00:10:40
29,29,2010-12-01 00:10:45
29,28,2010-12-01 00:10:50
29,0,2010-12-01 00:10:55
30,12,2010-12-01 00:11:00
30,29,2010-12-01 00:11:05
30,27,2010-12-01 00:11:10
30,26,2010-12-01 00:11:15
30,1,2010-12-01 00:11:20
30,28,2010-12-01 00:11:25
31,14,2010-12-01 00:11:30
32,23,2010-12-01 00:11:35
32,26,2010-12-01 00:11:40
32,0,2010-12-01 00:11:45
32,27,2010-12-01 00:11:50
32,29,2010-12-01 00:11:55
32,28,2010-12-01 00:12:00
33,15,2010-12-01 00:12:05
34,13,2010-12-01 00:12:10
35,9,2010-12-01 00:12:15
35,11,2010-12-01 00:12:20
35,10,2010-12-01 00:12:25
36,9,2010-12-01 00:12:30
36,11,2010-12-01 00:12:35
36,10,2010-12-01 00:12:40
37,9,2010-12-01 00:12:45
37,11,2010-12-01 00:12:50
37,10,2010-12-01 00:12:55
38,19,2010-12-01 00:13:00
38,20,2010-12-01 00:13:05
38,25,2010-12-01 00:13:10
38,21,2010-12-01 00:13:15
38,22,2010-12-01 00:13:20
38,24,2010-12-01 00:13:25
39,30,2010-12-01 00:13:30
39,2,2010-12-01 00:13:35
39,31,2010-12-01 00:13:40
39,5,2010-12-01 00:13:45
39,6,2010-12-01 00:13:50
39,7,2010-12-01 00:13:55
39,8,2010-12-01 00:14:00
39,3,2010-12-01 00:14:05
39,4,2010-12-01 00:14:10
39,5,2010-12-01 00:14:15
39,6,2010-12-01 00:14:20
39,7,2010-12-01 00:14:25
39,8,2010-12-01 00:14:30
39,30,2010-12-01 00:14:35
39,31,2010-12-01 00:14:40
39,2,2010-12-01 00:14:45
39,5,2010-12-01 00:14:50
39,6,2010-12-01 00:14:55
39,7,2010-12-01 00:15:00
39,8,2010-12-01 00:15:05
39,30,2010-12-01 00:15:10
39,2,2010-12-01 00:15:15
39,31,2010-12-01 00:15:20
39,5,2010-12-01 00:15:25
39,6,2010-12-01 00:15:30
39,7,2010-12-01 00:15:35
39,8,2010-12-01 00:15:40
39,30,2010-12-01 00:15:45
39,31,2010-12-01 00:15:50
39,2,2010-12-01 00:15:55
39,5,2010-12-01 00:16:00
39,6,2010-12-01 00:16:05
39,7,2010-12-01 00:16:10
39,8,2010-12-01 00:16:15
39,3,2010-12-01 00:16:20
39,4,2010-12-01 00:16:25
40,15,2010-12-01 00:16:30
41,30,2010-12-01 00:16:35
41,2,2010-12-01 00:16:40
41,31,2010-12-01 00:16:45
42,11,2010-12-01 00:16:50
42,10,2010-12-01 00:16:55
42,9,2010-12-01 00:17:00
43,11,2010-12-01 00:17:05
43,9,2010-12-01 00:17:10
43,10,2010-12-01 00:17:15
44,3,2010-12-01 00:17:20
44,4,2010-12-01 00:17:25
45,14,2010-12-01 00:17:30
46,21,2010-12-01 00:17:35
46,24,2010-12-01 00:17:40
46,25,2010-12-01 00:17:45
46,20,2010-12-01 00:17:50
46,22,2010-12-01 00:17:55
46,17,2010-12-01 00:18:00
47,14,2010-12-01 00:18:05
48,14,2010-12-01 00:18:10
49,25,2010-12-01 00:18:15
49,24,2010-12-01 00:18:20
49,21,2010-12-01 00:18:25
49,17,2010-12-01 00:18:30
49,22,2010-12-01 00:18:35
49,20,2010-12-01 00:18:40
50,22,2010-12-01 00:18:45
50,24,2010-12-01 00:18:50
50,20,2010-12-01 00:18:55
50,18,2010-12-01 00:19:00
50,21,2010-12-01 00:19:05
50,25,2010-12-01 00:19:10
51,30,2010-12-01 00:19:15
51,2,2010-12-01 00:19:20
51,31,2010-12-01 00:19:25
52,20,2010-12-01 00:19:30
52,22,2010-12-01 00:19:35
52,21,2010-12-01 00:19:40
52,17,2010-12-01 00:19:45
52,25,2010-12-01 00:19:50
52,24,2010-12-01 00:19:55
53,13,2010-12-01 00:20:00
54,14,2010-12-01 00:20:05
55,17,2010-12-01 00:20:10
55,21,2010-12-01 00:20:15
55,22,2010-12-01 00:20:20
55,24,2010-12-01 00:20:25
55,20,2010-12-01 00:20:30
55,25,2010-12-01 00:20:35
56,22,2010-12-01 00:20:40
56,24,2010-12-01 00:20:45
56,20,2010-12-01 00:20:50
56,21,2010-12-01 00:20:55
56,16,2010-12-01 00:21:00
56,25,2010-12-01 00:21:05
57,15,2010-12-01 00:21:10
58,15,2010-12-01 00:21:15
59,9,2010-12-01 00:21:20
59,10,2010-12-01 00:21:25
